Insumo 1;Insumo 2;Similitud (%)
"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/4" CLASE 150 ASTM A197";"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1" CLASE 150 ASTM A197";97.06%
"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1" CLASE 150 ASTM A197";"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 2 1/2" CLASE 150 ASTM A197";97.06%
"MONITOR DE FUNCIONES VITALES DE 6 PARAMETROS (ATENCIÓN AL RECIÉN NACIDO)";"P.A. MONITOR DE FUNCIONES VITALES DE 6 PARAMETROS (ATENCIÓN AL RECIÉN NACIDO)";97.01%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1" CLASE 150 ASTM A197 - ROSCADO";"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197 - ROSCADO";96.92%
"SUMINISTRO E INSTALACION DE PAQUETE FINALES DE LINEA DE 1 1/2"  (SEGUN DISEÑO)";"SUMINISTRO E INSTALACION DE PAQUETE FINALES DE LINEA DE 1"  (SEGUN DISEÑO)";96.92%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197 - ROSCADO";"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1" CLASE 150 ASTM A197 - ROSCADO";96.92%
"TEE DE FIERRO MALEABLE GALVANIZADO DE 2 1/2" CLASE 150 ASTM A197 - ROSCADO";"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197 - ROSCADO";96.92%
"TEE DE FIERRO MALEABLE GALVANIZADO DE 2 1/2" CLASE 150 ASTM A197 - ROSCADO";"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197 - ROSCADO";96.92%
"Bandeja tipo malla de 60x300x3000mm electrozincado con aterramiento incluye accesorios de instalación";"Bandeja tipo malla de 60x500x3000mm electrozincado con aterramiento incluye accesorios de instalación";96.84%
"Bandeja tipo malla de 60x200x3000mm electrozincado con aterramiento incluye accesorios de instalación";"Bandeja tipo malla de 60x300x3000mm electrozincado con aterramiento incluye accesorios de instalación";96.84%
"SUMINISTRO E INSTALACION DE PAQUETE DE PURGA DE LINEA DE 1 1/2" (SEGUN DISEÑO)";"SUMINISTRO E INSTALACION DE PAQUETE DE PURGA DE LINEA DE 1" (SEGUN DISEÑO)";96.77%
"TOMACORRIENTE DOBLE. UNIV, CON PUESTA A TIERRA, 16 A. 250 V. USO GENERAL (ESTAB).  (EQUIP. MEDICO).  EMP. EN MURO. H=1.1";"TOMACORRIENTE DOBLE. UNIV, CON PUESTA A TIERRA, 16 A. 250 V. USO GENERAL (ESTAB.).  (EQUIP. MEDICO). EMP. EN MURO.";96.74%
"REDUCCION BUSHING SCH - 40 2" - 1 1/2"";"REDUCCION BUSHING SCH - 40 2" - 1 1/4"";96.67%
"REDUCCION BUSHING  SCH - 40 1 1/2" - 1"";"REDUCCION BUSHING SCH - 40 1 1/2" - 1 1/4"";96.67%
"REDUCCION BUSHING SCH - 40 2" - 1 1/4"";"REDUCCION BUSHING SCH - 40 2" - 1"";96.67%
"REDUCCION BUSHING  SCH - 40 1 1/2" - 1"";"REDUCCION BUSHING SCH - 40 2" - 1 1/4"";96.67%
"REDUCCION BUSHING SCH - 40 1 1/2" - 1 1/4"";"REDUCCION BUSHING SCH - 40 2" - 1"";96.67%
"SUMINISTRO E INSTALACION DE ESTACION REDUCTORA DE PRESION = 150 PSIG. DE Ø 1"";"SUMINISTRO E INSTALACION DE ESTACION REDUCTORA DE PRESION = 150 PSIG.DE  Ø 1 1/2"";96.67%
"REDUCCION BUSHING SCH - 40 1 1/2" - 1 1/4"";"REDUCCION BUSHING SCH - 40 2" - 1 1/2"";96.67%
"CODO DE COBRE SOLDABLE 3" x 45°";"CODO DE COBRE SOLDABLE 3/4" x 45°";96.55%
