Insumo 1;Insumo 2;Similitud (%)
"(V-1')1.05 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"marco (V-15a)0.40 X 1.00m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";74.58%
"(V-11)1.09 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-15)0.50 X 1.00m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";74.58%
"EXTRACTOR HELICOCENTRIFUGO 308 CFM, 130W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 359 CFM, 102W, 220/1/60";74.55%
"EXTRACTOR HELICOCENTRIFUGO 359 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 372 CFM, 130W, 220/1/60";74.55%
"EXTRACTOR HELICOCENTRIFUGO 344 CFM, 130W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 359 CFM, 102W, 220/1/60";74.55%
"EXTRACTOR HELICOCENTRIFUGO 331 CFM, 130W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 359 CFM, 102W, 220/1/60";74.55%
"EXTRACTOR HELICOCENTRIFUGO 323 CFM, 130W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 359 CFM, 102W, 220/1/60";74.55%
"EXTRACTOR HELICOCENTRIFUGO 318 CFM, 130W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 359 CFM, 102W, 220/1/60";74.55%
"EXTRACTOR HELICOCENTRIFUGO 314 CFM, 130W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 359 CFM, 102W, 220/1/60";74.55%
"EXTRACTOR HELICOCENTRIFUGO 359 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 380 CFM, 130W, 220/1/60";74.55%
"PLANCHA DE ACERO LAC ASTM A 36 DE 1.22M X 2.40M X 6MM";"PLANCHA DE ACERO NEGRO LAC DE 1.22M X 2.40M x 6MM";74.51%
"PUERTA CORTAFUEGO DE METAL 1.00 m X 3.00 m";"PUERTA CORTAFUEGO DE METAL 60 cm X 2.00 m";74.42%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 3/4" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO";74.36%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 3/4" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 2 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO";74.36%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 3/4" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" x 90º CLASE 150 ASTM A197 - ROSCADO";74.36%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 3/4" x 90º CLASE 150 ASTM A197  - ROSCADO";74.36%
"PAPAGAYO DE ACERO INOXIDABLE";"PAPAGAYO DE ACERO INOXIDABLE PEDIATRICO";74.36%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 3/4" x 90º CLASE 150 ASTM A197  - ROSCADO";74.36%
"SWITCH PARA RED DE 24 PUERTOS POE";"SWITCH PARA RED DE 48 PUERTOS";74.29%
"SWITCH PARA RED DE 16 PUERTOS POE";"SWITCH PARA RED DE 48 PUERTOS";74.29%
"ESCALINATA METÁLICA 2 PELDAÑOS";"ESCALINATA METALICA 3 PELDAÑOS";74.29%
"AURICULARES PARA BOMBEROS";"GABINETE PARA AURICULARES PARA BOMBEROS";74.29%
"FORMADOR DE EMPAQUETADURA";"FORMADOR DE EMPAQUETADURA x 143 gr";74.29%
"CAMARA DE VIDEO DIGITAL IP";"CAMARA DE VIDEO DIGITAL IP TIPO DOMO";74.29%
"Servicio de Instalación, configuración, capacitación  y puesta en funcionamiento del Sistema de gestion de colas";"Servicio de Instalación, configuración, capacitación  y puesta en funcionamiento del Sistema de Procesamiento Centraliza";74.26%
"ventana (V-10')2.00 X 0.60m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"ventana (V-8)1.62 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";74.24%
"VENTANA (V-10)2.00 X 0.60m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"ventana (V-8)1.62 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";74.24%
"marco (V-15a)0.40 X 1.00m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"marco (V-18)0.70 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";74.19%
"Adquisición de tacho rojo de 120 lt  con tapa y ruedas  HDPE";"Adquisición de tacho negro de 220 lt con tapa y ruedas de HDPE";74.19%
"TUBERIA DE COBRE TIPO K ø 3"";"TUBERIA DE COBRE TIPO L DE 3/4"";74.19%
"TUBERIA DE COBRE TIPO K ø 2 1/2"";"TUBERIA DE COBRE TIPO L DE 1"";74.19%
"Adquisición de tacho rojo de 220 lt  con tapa y ruedas  HDPE";"Adquisición de tacho negro de 120 lt con tapa y ruedas de HDPE";74.19%
"ABRAZADERA UNISTRUT DE 1 1/2''";"ABRAZADERA UNISTRUT DE 3/4"";74.19%
"TUBERIA DE COBRE TIPO K ø 1/2"";"TUBERIA DE COBRE TIPO L DE 1"";74.19%
"ABRAZADERA UNISTRUT DE 1/2''";"ABRAZADERA UNISTRUT DE 3/4"";74.19%
"ABRAZADERA UNISTRUT DE 2 1/2''";"ABRAZADERA UNISTRUT DE 3/4"";74.19%
"TUBERIA DE COBRE TIPO K ø 1"";"TUBERIA DE COBRE TIPO L DE 1/2"";74.19%
"TUBERIA DE COBRE TIPO K ø 1"";"TUBERIA DE COBRE TIPO L DE 1 1/4"";74.19%
"TUBERIA DE COBRE TIPO K ø 1"";"TUBERIA DE COBRE TIPO L DE 1 1/2"";74.19%
"TUBERIA DE COBRE TIPO K ∅ 4"";"TUBERIA DE COBRE TIPO K ø 2 1/2"";74.19%
"TUBERIA DE COBRE TIPO K ∅ 4"";"TUBERIA DE COBRE TIPO K ø 1/2"";74.19%
"VENTANA (V-2)1.20 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-11)1.09 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";74.19%
"VENTANA (V-2)1.20 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-13)0.80 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";74.19%
"BOMBA DE INFUSION DE 1 CANAL";"BOMBA DE INFUSION DE 2 CANALES";74.19%
"TUBERIA DE COBRE TIPO L DE 1/2"";"TUBERIA DE COBRE TIPO L DE 3/4"";74.19%
"marco (V-17)1.10 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"VENTANA (V-2)1.20 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";74.19%
"TUBERIA DE COBRE TIPO L DE 1 1/2"";"TUBERIA DE COBRE TIPO L DE 3/4"";74.19%
"UNION UNIVERSAL DE BRONCE 1 1/2"";"UNION UNIVERSAL DE BRONCE 3/4"";74.19%
"UNION UNIVERSAL DE BRONCE 1/2"";"UNION UNIVERSAL DE BRONCE 3/4"";74.19%
"UNION UNIVERSAL DE BRONCE 2 1/2"";"UNION UNIVERSAL DE BRONCE 3/4"";74.19%
"TEE PVC CP DESAGUE PESADA 2"";"YEE PVC CP DESAGUE - PESADA 4"-2"";74.19%
"TEE PVC CP DESAGUE PESADA 2"";"YEE PVC CP DESAGUE - PESADA 3"-2"";74.19%
"BOLSA DE POLIETILENO 1.5 µm X 90 cm X 1.07 m COLOR NEGRO";"BOLSA DE POLIETILENO 2 µm X 1.00 m X 1.20 m COLOR NEGRO";74.14%
"EXTRACTOR HELICOCENTRIFUGO 149 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 239 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 257 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 282 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 257 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 283 CFM, 130W, 220/1/60";74.07%
"Cable Cu N2XOH 1x120 mm2";"Cable Cu N2XOH 1x50 mm2";74.07%
"EXTRACTOR HELICOCENTRIFUGO 257 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 292 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 127 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 282 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 257 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 280 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 127 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 283 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 276 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 280 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 276 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 282 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 240 CFM, 130W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 276 CFM, 102W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 166 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 240 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 276 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 283 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 276 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 292 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 240 CFM, 130W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 257 CFM, 102W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 149 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 292 CFM, 130W, 220/1/60";74.07%
"Cable Cu N2XOH 1x120 mm2";"Cable Cu N2XOH 1x70 mm2";74.07%
"EXTRACTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 240 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 239 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 280 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 282 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 283 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 292 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 166 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 239 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 215 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 292 CFM, 130W, 220/1/60";74.07%
"TUBERIA SCH - 40 DE Ø 2 1/2"";"TUBERIA SCH - 40 DE Ø 3/4"";74.07%
"EXTRACTOR HELICOCENTRIFUGO 215 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 283 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 215 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 282 CFM, 130W, 220/1/60";74.07%
"TUBERIA SCH - 40 DE Ø 1 1/2"";"TUBERIA SCH - 40 DE Ø 3/4"";74.07%
"EXTRACTOR HELICOCENTRIFUGO 166 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 280 CFM, 130W, 220/1/60";74.07%
"TUB. PVC SAP P/INST. ELECT. NTP-399.006 DE 20MM X 3M.";"CURVA PVC SAP P/INST. ELECT. NTP 399.006 DE 20mm";74.07%
"EXTRACTOR HELICOCENTRIFUGO 239 CFM, 130W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 257 CFM, 102W, 220/1/60";74.07%
"TUB. PVC SAP P/INST. ELECT. NTP-399.006 DE 40MM X 3M.";"CURVA PVC SAP P/INST. ELECT. NTP 399.006 DE 40mm";74.07%
"EXTRACTOR HELICOCENTRIFUGO 215 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 280 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 215 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 240 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 215 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 239 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 200 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 292 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 200 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 283 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 200 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 282 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 200 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 280 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 149 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 240 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 200 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 240 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 200 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 239 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 175 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 292 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 175 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 283 CFM, 130W, 220/1/60";74.07%
"TUBERIA SCH - 40 DE Ø 1/2"";"TUBERIA SCH - 40 DE Ø 3/4"";74.07%
"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOX. DE Ø 1 1/2"";"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 1 1/4", 1M";74.07%
"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOX. DE Ø 2 1/2"";"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 1 1/4", 1M";74.07%
"EXTRACTOR HELICOCENTRIFUGO 175 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 282 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 149 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 280 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 175 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 280 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 175 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 240 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 175 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 239 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 127 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 292 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 149 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 282 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 149 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 283 CFM, 130W, 220/1/60";74.07%
"REDUCCION PVC 3/4" - 1/2"";"REDUCCION PVC DE 1" A 3/4"";74.07%
"EXTRACTOR HELICOCENTRIFUGO 238 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 240 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 238 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 280 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 238 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 282 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 238 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 283 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 166 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 292 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 238 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 292 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 239 CFM, 130W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 276 CFM, 102W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 166 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 283 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 166 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 282 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 127 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 239 CFM, 130W, 220/1/60";74.07%
"Cable Cu N2XOH 1x120 mm2";"Cable Cu N2XOH 1x25 mm2";74.07%
"EXTRACTOR HELICOCENTRIFUGO 127 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 240 CFM, 130W, 220/1/60";74.07%
"EXTRACTOR HELICOCENTRIFUGO 127 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 280 CFM, 130W, 220/1/60";74.07%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1" CLASE 150 ASTM A197 - ROSCADO";"UNION SIMPLE DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" CLASE 150 ASTM A197 - ROSCADO";74.03%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1" CLASE 150 ASTM A197 - ROSCADO";"UNION SIMPLE DE FIERRO MALEABLE GALVANIZADO DE 2 1/2 "CLASE 150 ASTM A197 - ROSCADO";74.03%
"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 3/4" X 1/2" CLASE 150 ASTM A197 - ROSCADO";"REDUCCIÓN EXCENTRICA CAMPANA DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 3/4" CLASE 150 ASTM A197 - ROSCADO";74.00%
"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 3/4" CLASE 150 ASTM A197 - ROSCADO";"REDUCCIÓN EXCENTRICA CAMPANA DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 3/4" CLASE 150 ASTM A197 - ROSCADO";74.00%
"SUMINISTRO E INSTALACION DE UMA (Unidad Masajeadora de aire) - 1884 CFM";"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 1654 CFM";73.97%
"SUMINISTRO E INSTALACION DE UMA (Unidad Masajeadora de aire) - 1884 CFM";"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 1046 CFM";73.97%
"UNION FLEXIBLE ø 1/2"";"UNION FLEXIBLE ø 3"";73.91%
"UNION FLEXIBLE Ø 2 1/2"";"UNION FLEXIBLE ø 3"";73.91%
"TEE DE COBRE  ø 2" x 2"";"TEE DE COBRE  ø 3/4" x 3/4"";73.91%
"LIJA PARA FIERRO";"LIJA PARA FIERRO N° 200";73.91%
"VITRINA DE ACERO INOXIDABLE PARA INSTRUMENTAL Y MATERIAL ESTÉRIL DE DOS CUERPOS";"VITRINA METÁLICA DE ACERO INOXIDABLE PARA INSTRUMENTOS O MATERIAL ESTÉRIL DE UN CUERPO";73.86%
"Luminaria hermética tipo Led 36 W para adosar IP 65, IK08";"Luminaria hermética tipo Led 36 W para suspender IP 65, IK08";73.85%
"marco (V-18)0.70 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"ventana (V-6a)0.60 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";73.85%
"COCHE PARA TRANSPORTE DE ROPA LIMPIA";"COCHE PARA TRANSPORTE DE ROPA SUCIA";73.81%
"marco (V-18)0.70 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-15)0.50 X 1.00m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";73.77%
"marco (V-19)5.50 X 1.00m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-9)2.00 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";73.77%
"TEE  1" x 90º CLASE150 MI 197 - ROSCADO FIERRO MALEABLE";"CODO 4" x 90º CLASE150 MI 197 SOLDADO ROSCADO FIERRO MALEABLE";73.77%
"UNION SIMPLE DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" CLASE 150 ASTM A197 - ROSCADO";"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197";73.75%
"UNION SIMPLE DE FIERRO MALEABLE GALVANIZADO DE 2 1/2 "CLASE 150 ASTM A197 - ROSCADO";"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197";73.75%
"UNION SIMPLE DE FIERRO MALEABLE GALVANIZADO DE 2 1/2 "CLASE 150 ASTM A197 - ROSCADO";"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197";73.75%
"UNION SIMPLE DE FIERRO MALEABLE GALVANIZADO DE 2 1/2 "CLASE 150 ASTM A197 - ROSCADO";"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 2 1/2" CLASE 150 ASTM A197";73.75%
"UNION SIMPLE DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" CLASE 150 ASTM A197 - ROSCADO";"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197";73.75%
"UNION SIMPLE DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" CLASE 150 ASTM A197 - ROSCADO";"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 2 1/2" CLASE 150 ASTM A197";73.75%
"CODO 1" x 90º CLASE150 MI 197 ROSCADO FIERRO MALEABLE";"CODO 10" x 90º CLASE150 MI 197 SOLDADO FIERRO MALEABLE";73.68%
"ACOPLE SCH - 40 1 1/2"";"ACOPLE SCH - 40 4"";73.68%
"ACOPLE SCH - 40 2 1/2"";"ACOPLE SCH - 40 4"";73.68%
"TUB. PVC SAP P/INST. ELECT. DE 35mm";"UNION PVC SAP P/INST. ELECT. DE 35mm";73.68%
"TUB. PVC SAP P/INST. ELECT. DE 25mm";"UNION PVC SAP P/INST. ELECT. DE 25mm";73.68%
"INTERRUPTOR TERMOMAGNETICO 2x25 A";"INTERRUPTOR TERMOMAGNETICO 4x80 A";73.68%
"INTERRUPTOR TERMOMAGNETICO 2x25 A";"INTERRUPTOR TERMOMAGNETICO 4x40 A";73.68%
"INTERRUPTOR TERMOMAGNETICO 2x25 A";"INTERRUPTOR TERMOMAGNETICO 4x32 A";73.68%
"INTERRUPTOR TERMOMAGNETICO 2x20 A";"INTERRUPTOR TERMOMAGNETICO 4x80 A";73.68%
"INTERRUPTOR TERMOMAGNETICO 2x20 A";"INTERRUPTOR TERMOMAGNETICO 4x40 A";73.68%
"INTERRUPTOR TERMOMAGNETICO 2x20 A";"INTERRUPTOR TERMOMAGNETICO 4x32 A";73.68%
"INTERRUPTOR TERMOMAGNETICO 2x20 A";"INTERRUPTOR TERMOMAGNETICO 4x25 A";73.68%
"BOLSA DE POLIETILENO 1.5 µm X 90 cm X 1.07 m COLOR ROJO";"BOLSA DE POLIETILENO 2 µm X 1.00 m X 1.20 m COLOR ROJO";73.68%
"SUMINISTRO E INSTALACION DE PAQUETE DE PURGA DE LINEA DE 1 1/2" (SEGUN DISEÑO)";"SUMINISTRO E INSTALACION DE PAQUETE DE PURGA TERMODINAMICA DE 1 1/2"(SEGUN DISEÑO)";73.68%
"TEE DE FIERRO MALEABLE GALVANIZADO DE 2 1/2" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 3" x 90º CLASE 150 ASTM A197 - ROSCADO";73.68%
"SUMINISTRO E INSTALACION DE PAQUETE DE PURGA DE LINEA DE 1" (SEGUN DISEÑO)";"SUMINISTRO E INSTALACION DE PAQUETE FINALES DE LINEA  DE 3/4 "(SEGUN DISEÑO)";73.61%
"INYECTOR HELICOCENTRIFUGO 276 CFM, 130W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 282 CFM, 102W, 220/1/60";73.58%
"INYECTOR HELICOCENTRIFUGO 262 CFM, 130W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 286 CFM, 102W, 220/1/60";73.58%
"INYECTOR HELICOCENTRIFUGO 262 CFM, 130W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 282 CFM, 102W, 220/1/60";73.58%
"INYECTOR HELICOCENTRIFUGO 254 CFM, 130W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 286 CFM, 102W, 220/1/60";73.58%
"INYECTOR HELICOCENTRIFUGO 254 CFM, 130W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 282 CFM, 102W, 220/1/60";73.58%
"INYECTOR HELICOCENTRIFUGO 114 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 262 CFM, 130W, 220/1/60";73.58%
"INYECTOR HELICOCENTRIFUGO 150 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 262 CFM, 130W, 220/1/60";73.58%
"INYECTOR HELICOCENTRIFUGO 249 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 254 CFM, 130W, 220/1/60";73.58%
