Grupo ID;Insumo Original
Grupo 56;"TUBO DE COBRE TIPO K Ø  1 1/2""
Grupo 56;"TUBO DE COBRE TIPO K Ø  1/2""
Grupo 56;"TUBO DE COBRE TIPO K Ø  2""
Grupo 57;"TUBO DE COBRE TIPO L Ø 1 1/2" x 6M"
Grupo 57;"TUBO DE COBRE TIPO L Ø 1/2" x 6M"
Grupo 57;"TUBO DE COBRE TIPO L Ø  2 1/2" x 6M"
Grupo 57;"TUBO DE COBRE TIPO L Ø 2" x 6M"
Grupo 57;"TUBO DE COBRE TIPO L Ø 1" x 6M"
Grupo 57;"TUBO DE COBRE TIPO L Ø 1 1/4" x 6M"
Grupo 58;"ACOPLADOR HDMI PARA FACEPLATE"
Grupo 58;"FACEPLATE PARA ACOPLADOR HDMI"
Grupo 59;"ACOPLE SCH - 40 1 1/2""
Grupo 59;"ACOPLE SCH - 40 2 1/2""
Grupo 59;"ACOPLE SCH - 40 2""
Grupo 59;"ACOPLE SCH - 40 1""
Grupo 60;"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 1 1/4" X 6 m"
Grupo 60;"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 1" X 6 m"
Grupo 61;"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 3" X 6 m"
Grupo 61;"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 3/4" X 6 m"
Grupo 62;"UPS Trifasico 380/220 V, 2 KVA , 2 Baterias internas"
Grupo 62;"UPS Trifasico 380/220 V,20 KVA , 2 Baterias internas"
Grupo 62;"UPS Trifasico 380/220 V, 5 KVA , 2 Baterias internas"
Grupo 62;"UPS Trifasico 380/220 V, 10 KVA , 2 Baterias internas"
Grupo 62;"UPS Trifasico 380/220 V,15 KVA , 2 Baterias internas"
Grupo 62;"UPS Trifasico 380/220 V,75 KVA , 2 Baterias internas"
Grupo 63;"REDUCCIÓN EXCENTRICA CAMPANA DE  FIERRO MALEABLE GALVANIZADO DE 1" X 3/4" CLASE 150 ASTM A197 - ROSCADO"
Grupo 63;"REDUCCIÓN EXCENTRICA CAMPANA DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 3/4" CLASE 150 ASTM A197 - ROSCADO"
Grupo 63;"REDUCCIÓN EXCENTRICA CAMPANA DE  FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 1" CLASE 150 ASTM A197 - ROSCADO"
Grupo 64;"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x100 A"
Grupo 64;"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x1000 A"
Grupo 64;"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x2000 A"
